,r2
0,0.6698133995900871
1,0.6605987347179281
2,0.6668639361297843
3,0.6678110276628129
4,0.6318655664978636
5,0.6733235669771052
6,0.6520295834945204
7,0.6674922858255101
8,0.6679148372073587
9,0.692361222955023
10,0.6676626993905039
11,0.6658920795117225
12,0.6565143798251658
13,0.6745597840878552
14,0.6614198124207885
15,0.6590328646188341
16,0.6502119769835044
17,0.6567013348847726
18,0.6749571197523544
19,0.649187809791475
20,0.6657208742414564
21,0.6767551964593239
22,0.6674732947430766
23,0.6682776995549171
24,0.6704582799926957
25,0.6878544144227376
26,0.6788107690358497
27,0.6637191910907221
28,0.6696569071802196
29,0.6755173435458703
30,0.6590704455887377
31,0.6772834280192797
32,0.671160632078991
33,0.6691799461626813
34,0.6688430505672733
35,0.6574982338097646
36,0.6775606631881737
37,0.6769274621353546
38,0.656219214890975
39,0.6537124695960276
40,0.6758910491075774
41,0.6808457094487081
42,0.6874731312347278
43,0.6476911095831634
44,0.6581201991543422
45,0.6588186418423495
46,0.6559108260528066
47,0.6692102621498178
48,0.6792551375356948
49,0.6771973906987596
50,0.6407173571797515
51,0.6673924053695565
52,0.6587294407242421
53,0.6517668812277876
54,0.688640554328212
55,0.6807345524607824
56,0.6492225160776176
57,0.6780725310146848
58,0.6719071686586517
59,0.687128674681764
60,0.6646176074374828
61,0.6529868343358298
62,0.6677369206103783
63,0.6449468160884844
64,0.6725582248066552
65,0.6597936456056509
66,0.6690718254076365
67,0.6659405894303643
68,0.664566387846528
69,0.6598838872264496
70,0.6620341298037689
71,0.6600487421842516
72,0.664551539543521
73,0.6797513474868331
74,0.67124607875944
75,0.6552248792038269
76,0.6652466538170483
77,0.6533654006632323
78,0.6656354402792801
79,0.6760149388026302
80,0.6690200291582298
81,0.6811331721385734
82,0.6624021087417422
83,0.6776119081220007
84,0.6712242433703302
85,0.6609108095889942
86,0.6731816383784189
87,0.6772913922649304
88,0.6649508507884477
89,0.6482596836348948
90,0.6731082067415328
91,0.6626375050098987
92,0.6748355235704504
93,0.6625597211203993
94,0.674741094925561
95,0.6556938540982278
96,0.676339162679674
97,0.6800507823008036
98,0.6903257078226415
99,0.6667838354318043
100,0.6574136111933453
101,0.6835404569500416
102,0.6554573698762174
103,0.6815097771443399
104,0.6458961816224982
105,0.6671628816950173
106,0.6656632481008464
107,0.6668359122621792
108,0.6875666668967171
109,0.6829148173502917
110,0.6706334338047801
111,0.6640690470182378
112,0.6488400376856074
113,0.6710441358555169
114,0.6749566966420564
115,0.658571223394518
116,0.6813464919848127
117,0.6464940308193712
118,0.6689837002634578
119,0.6687902245837107
120,0.659382370799304
121,0.6788698893174148
122,0.6742171805406962
123,0.6481064165464798
124,0.6871345382648857
125,0.6643203637260531
126,0.6666056038075288
127,0.6525444572970359
128,0.663974548060837
129,0.6620687908195974
130,0.6796429483340705
131,0.6747631471609932
132,0.6764942281542756
133,0.674487161454201
134,0.6597003594044886
135,0.6918782324133179
136,0.6596816673404651
137,0.681292542628544
138,0.6640551097786601
139,0.6765640513561946
140,0.6652038573026897
141,0.6438473154656342
142,0.6724966245828674
143,0.6786682514524243
144,0.6648344680396506
145,0.635254767972592
146,0.6857450269432064
147,0.6576141518092466
148,0.6777079437054058
149,0.6719358251593928
150,0.6664908932652862
151,0.6464089355895313
152,0.6663827148229462
153,0.6829651284363856
154,0.6332678158585474
155,0.6545881387916042
156,0.6560312459848799
157,0.6793368098067023
158,0.6626985541766583
159,0.6555874011980903
160,0.6642407369633756
161,0.6683586409372924
162,0.6592166817789367
163,0.662722045541322
164,0.6610994086299045
165,0.6485452865812309
166,0.6545564082531082
167,0.6745901858018962
168,0.6497900142381159
169,0.6543428427206772
170,0.6607198085393009
171,0.6578103455553557
172,0.6586924335887527
173,0.6670359719480845
174,0.6761392785298779
175,0.6549106923265479
176,0.6731327294609587
177,0.6668109443696004
178,0.673761008610512
179,0.6692956675104165
180,0.6449578708955754
181,0.6737559095149412
182,0.6684326797305564
183,0.6567656651718847
184,0.6602536776821177
185,0.6791573566308022
186,0.6644953273412897
187,0.6444818949762985
188,0.6638769468014681
189,0.6309375157944686
